Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-133193	TAX-2	TAX-133193	Alkalilimnicola
TAX-351052	TAX-2	TAX-351052	Alkalilimnicola ehrlichii
TAX-187272	TAX-2	TAX-187272	Alkalilimnicola ehrlichii
TAX-114627	TAX-2	TAX-114627	Alkaliphilus
TAX-208226	TAX-2	TAX-208226	Alkaliphilus metalliredigens
TAX-350688	TAX-2	TAX-350688	Alkaliphilus oremlandii
TAX-461876	TAX-2	TAX-461876	Alkaliphilus oremlandii
TAX-85072	TAX-2	TAX-85072	Allochromatium
TAX-1049	TAX-2	TAX-1049	Allochromatium vinosum
TAX-28211	TAX-2	TAX-28211	Alphaproteobacteria
TAX-1797213	TAX-2	TAX-1797213	Alphaproteobacteria bacterium GWF2_58_20
TAX-72275	TAX-2	TAX-72275	Alteromonadaceae
TAX-135622	TAX-2	TAX-135622	Alteromonadales
TAX-226	TAX-2	TAX-226	Alteromonas
TAX-105692	TAX-2	TAX-105692	Alteromonas agarilytica
ORG-6306	TAX-2	ORG-6306	Alteromonas australica
ORG-6307	TAX-2	ORG-6307	Alteromonas australica
TAX-589873	TAX-2	TAX-589873	Alteromonas australica
TAX-28108	TAX-2	TAX-28108	Alteromonas macleodii
TAX-232	TAX-2	TAX-232	Alteromonas sp.
TAX-2903219	TAX-2	TAX-2903219	Alteromonas/Salinimonas group
TAX-31988	TAX-2	TAX-31988	Aminobacter
TAX-83263	TAX-2	TAX-83263	Aminobacter aminovorans
TAX-150723	TAX-2	TAX-150723	Aminobacter ciceronei
TAX-42837	TAX-2	TAX-42837	Ammonifex
TAX-42838	TAX-2	TAX-42838	Ammonifex degensii
TAX-2685818	TAX-2	TAX-2685818	Amorphaceae
TAX-580880	TAX-2	TAX-580880	Amorphus
TAX-340680	TAX-2	TAX-340680	Amorphus coralli
TAX-1813	TAX-2	TAX-1813	Amycolatopsis
TAX-1913	TAX-2	TAX-1913	Amycolatopsis lactamdurans
TAX-749927	TAX-2	TAX-749927	Amycolatopsis mediterranei
TAX-33910	TAX-2	TAX-33910	Amycolatopsis mediterranei
TAX-1814	TAX-2	TAX-1814	Amycolatopsis methanolica
TAX-2893674	TAX-2	TAX-2893674	Amycolatopsis methanolica group
TAX-31958	TAX-2	TAX-31958	Amycolatopsis orientalis
TAX-287986	TAX-2	TAX-287986	Amycolatopsis rifamycinica
TAX-385957	TAX-2	TAX-385957	Amycolatopsis sp. ATCC 39116
TAX-124251	TAX-2	TAX-124251	Amycolatopsis sp. HR167
ORG-6170	TAX-2	ORG-6170	an unidentified fluorescent Pseudomonad (Shaw 56)
TAX-1163	TAX-2	TAX-1163	Anabaena
TAX-46234	TAX-2	TAX-46234	Anabaena sp. 90
TAX-704093	TAX-2	TAX-704093	Anaerobacillus
TAX-85682	TAX-2	TAX-85682	Anaerobacillus arseniciselenatis
TAX-165779	TAX-2	TAX-165779	Anaerococcus
TAX-1843210	TAX-2	TAX-1843210	Anaerocolumna
TAX-1527	TAX-2	TAX-1527	Anaerocolumna aminovalerica
TAX-81463	TAX-2	TAX-81463	Anaeromusa
TAX-81464	TAX-2	TAX-81464	Anaeromusa acidaminophila
TAX-2039240	TAX-2	TAX-2039240	Anaerotignum
TAX-28446	TAX-2	TAX-28446	Anaerotignum propionicum
TAX-244127	TAX-2	TAX-244127	Anaerotruncus
TAX-169435	TAX-2	TAX-169435	Anaerotruncus colihominis
TAX-82373	TAX-2	TAX-82373	Anaerovibrio
TAX-82374	TAX-2	TAX-82374	Anaerovibrio lipolyticus
TAX-942	TAX-2	TAX-942	Anaplasmataceae
TAX-99	TAX-2	TAX-99	Ancylobacter
TAX-100	TAX-2	TAX-100	Ancylobacter aquaticus
TAX-223389	TAX-2	TAX-223389	Ancylobacter vacuolatus
TAX-55079	TAX-2	TAX-55079	Aneurinibacillus
TAX-85151	TAX-2	TAX-85151	Aneurinibacillus group
TAX-47500	TAX-2	TAX-47500	Aneurinibacillus migulanus
ORG-6195	TAX-2	ORG-6195	Aneurinibacillus thermoaerophilus
ORG-6194	TAX-2	ORG-6194	Aneurinibacillus thermoaerophilus
TAX-143495	TAX-2	TAX-143495	Aneurinibacillus thermoaerophilus
TAX-2008781	TAX-2	TAX-2008781	Annwoodia
TAX-47959	TAX-2	TAX-47959	Annwoodia aquaesulis
TAX-150247	TAX-2	TAX-150247	Anoxybacillus
TAX-265948	TAX-2	TAX-265948	Anoxybacillus tepidamans
TAX-1175	TAX-2	TAX-1175	Aphanizomenon
TAX-1176	TAX-2	TAX-1176	Aphanizomenon flos-aquae
TAX-459664	TAX-2	TAX-459664	Aphanizomenon sp. 10E6
TAX-1892259	TAX-2	TAX-1892259	Aphanizomenonaceae
TAX-1119	TAX-2	TAX-1119	Aphanocapsa
TAX-1890450	TAX-2	TAX-1890450	Aphanothecaceae
TAX-1121	TAX-2	TAX-1121	Aphanothece
TAX-72020	TAX-2	TAX-72020	Aphanothece halophytica
TAX-2713	TAX-2	TAX-2713	Aquifex
TAX-224324	TAX-2	TAX-224324	Aquifex aeolicus
TAX-63363	TAX-2	TAX-63363	Aquifex aeolicus
TAX-2714	TAX-2	TAX-2714	Aquifex pyrophilus
TAX-64898	TAX-2	TAX-64898	Aquificaceae
TAX-187857	TAX-2	TAX-187857	Aquificae <class>
TAX-200783	TAX-2	TAX-200783	Aquificae <phylum>
TAX-32069	TAX-2	TAX-32069	Aquificales
TAX-90150	TAX-2	TAX-90150	Aquificales genera incertae sedis
TAX-391952	TAX-2	TAX-391952	Aquincola
TAX-391953	TAX-2	TAX-391953	Aquincola tertiaricarbonis
TAX-39	TAX-2	TAX-39	Archangiaceae
TAX-47	TAX-2	TAX-47	Archangium
TAX-38	TAX-2	TAX-38	Archangium disciforme
TAX-83451	TAX-2	TAX-83451	Archangium violaceum
TAX-28196	TAX-2	TAX-28196	Arcobacter
TAX-2808963	TAX-2	TAX-2808963	Arcobacteraceae
TAX-490567	TAX-2	TAX-490567	Arenimonas
TAX-354197	TAX-2	TAX-354197	Arenimonas malthae
TAX-551759	TAX-2	TAX-551759	Aromatoleum
TAX-76114	TAX-2	TAX-76114	Aromatoleum aromaticum
TAX-551760	TAX-2	TAX-551760	Aromatoleum aromaticum
TAX-76115	TAX-2	TAX-76115	Aromatoleum bremense
TAX-200254	TAX-2	TAX-200254	Aromatoleum buckelii
TAX-75796	TAX-2	TAX-75796	Aromatoleum diolicum
TAX-59406	TAX-2	TAX-59406	Aromatoleum evansii
TAX-90060	TAX-2	TAX-90060	Aromatoleum toluolicum
TAX-1663	TAX-2	TAX-1663	Arthrobacter
TAX-37921	TAX-2	TAX-37921	Arthrobacter agilis
ORG-5863	TAX-2	ORG-5863	Arthrobacter allantoicus
ORG-5864	TAX-2	ORG-5864	Arthrobacter aurescens
TAX-1670	TAX-2	TAX-1670	Arthrobacter citreus
TAX-37928	TAX-2	TAX-37928	Arthrobacter crystallopoietes
ORG-5865	TAX-2	ORG-5865	Arthrobacter GJM-1 
ORG-6261	TAX-2	ORG-6261	Arthrobacter globiformis
TAX-1665	TAX-2	TAX-1665	Arthrobacter globiformis
ORG-6100	TAX-2	ORG-6100	Arthrobacter globiformis KZT1
TAX-122866	TAX-2	TAX-122866	Arthrobacter keyseri
TAX-121291	TAX-2	TAX-121291	Arthrobacter methylotrophus
ORG-6180	TAX-2	ORG-6180	Arthrobacter nicotianae
TAX-1677	TAX-2	TAX-1677	Arthrobacter pascens
ORG-6157	TAX-2	ORG-6157	Arthrobacter pascens F164
ORG-5994	TAX-2	ORG-5994	Arthrobacter protophormiae
ORG-6216	TAX-2	ORG-6216	Arthrobacter protophormiae
TAX-1672	TAX-2	TAX-1672	Arthrobacter ramosus
TAX-1667	TAX-2	TAX-1667	Arthrobacter sp.
ORG-5869	TAX-2	ORG-5869	Arthrobacter sp.
ORG-5866	TAX-2	ORG-5866	Arthrobacter sp.
ORG-5870	TAX-2	ORG-5870	Arthrobacter sp.
ORG-5867	TAX-2	ORG-5867	Arthrobacter sp.
ORG-6101	TAX-2	ORG-6101	Arthrobacter sp.
ORG-5868	TAX-2	ORG-5868	Arthrobacter sp.
TAX-79670	TAX-2	TAX-79670	Arthrobacter sp. 1C
TAX-175533	TAX-2	TAX-175533	Arthrobacter sp. 2-4-1
ORG-6357	TAX-2	ORG-6357	Arthrobacter sp. Cr-7
TAX-196628	TAX-2	TAX-196628	Arthrobacter sp. KUJ8602
TAX-72571	TAX-2	TAX-72571	Arthrobacter sp. PY1
TAX-104027	TAX-2	TAX-104027	Arthrobacter sp. Q36
TAX-71255	TAX-2	TAX-71255	Arthrobacter sp. SU
TAX-68999	TAX-2	TAX-68999	Arthrobacter sp. TE1826
TAX-75752	TAX-2	TAX-75752	Arthrobacter sp. TM1
TAX-2510797	TAX-2	TAX-2510797	Arthrobacter sp. TS-15
ORG-6249	TAX-2	ORG-6249	Arthrobacter synephrinum
TAX-35823	TAX-2	TAX-35823	Arthrospira
TAX-118562	TAX-2	TAX-118562	Arthrospira platensis
ORG-6202	TAX-2	ORG-6202	Asaccharobacter celatus
TAX-195964	TAX-2	TAX-195964	Asanoa
TAX-53367	TAX-2	TAX-53367	Asanoa ferruginea
TAX-1643824	TAX-2	TAX-1643824	Atopobiaceae
TAX-255475	TAX-2	TAX-255475	Aurantimonadaceae
TAX-182269	TAX-2	TAX-182269	Aurantimonas
TAX-287752	TAX-2	TAX-287752	Aurantimonas manganoxydans
TAX-651183	TAX-2	TAX-651183	Aurantimonas manganoxydans
TAX-365032	TAX-2	TAX-365032	Aureispira
TAX-365033	TAX-2	TAX-365033	Aureispira marina
TAX-12960	TAX-2	TAX-12960	Azoarcus
TAX-198107	TAX-2	TAX-198107	Azoarcus sp. CIB
TAX-166498	TAX-2	TAX-166498	Azoarcus sp. EB1
TAX-2008795	TAX-2	TAX-2008795	Azonexaceae
TAX-6	TAX-2	TAX-6	Azorhizobium
TAX-7	TAX-2	TAX-7	Azorhizobium caulinodans
TAX-146937	TAX-2	TAX-146937	Azospira
TAX-146939	TAX-2	TAX-146939	Azospira oryzae
TAX-162176	TAX-2	TAX-162176	Azospira sp. KJ
TAX-204460	TAX-2	TAX-204460	Azospira sp. PCC
TAX-2829815	TAX-2	TAX-2829815	Azospirillaceae
TAX-191	TAX-2	TAX-191	Azospirillum
TAX-192	TAX-2	TAX-192	Azospirillum brasilense
TAX-193	TAX-2	TAX-193	Azospirillum lipoferum
TAX-100762	TAX-2	TAX-100762	Azospirillum sp. TTI
TAX-352	TAX-2	TAX-352	Azotobacter
TAX-170623	TAX-2	TAX-170623	Azotobacter beijerinckii
TAX-1328314	TAX-2	TAX-1328314	Azotobacter chroococcum
TAX-353	TAX-2	TAX-353	Azotobacter chroococcum
TAX-351	TAX-2	TAX-351	Azotobacter group
ORG-6176	TAX-2	ORG-6176	Azotobacter vinelandii
TAX-354	TAX-2	TAX-354	Azotobacter vinelandii
TAX-186817	TAX-2	TAX-186817	Bacillaceae
TAX-1385	TAX-2	TAX-1385	Bacillales
TAX-539003	TAX-2	TAX-539003	Bacillales Family X. Incertae Sedis
TAX-539742	TAX-2	TAX-539742	Bacillales Family XII. Incertae Sedis
TAX-539002	TAX-2	TAX-539002	Bacillales incertae sedis
TAX-91061	TAX-2	TAX-91061	Bacilli
TAX-1386	TAX-2	TAX-1386	Bacillus <firmicutes>
ORG-6264	TAX-2	ORG-6264	Bacillus amyloliquefaciens
TAX-1390	TAX-2	TAX-1390	Bacillus amyloliquefaciens
TAX-1938374	TAX-2	TAX-1938374	Bacillus amyloliquefaciens group
TAX-260799	TAX-2	TAX-260799	Bacillus anthracis
TAX-1392	TAX-2	TAX-1392	Bacillus anthracis
ORG-57070	TAX-2	ORG-57070	Bacillus aryabhattai
ORG-57071	TAX-2	ORG-57071	Bacillus aryabhattai
TAX-720555	TAX-2	TAX-720555	Bacillus atrophaeus
TAX-1452	TAX-2	TAX-1452	Bacillus atrophaeus
TAX-1455	TAX-2	TAX-1455	Bacillus badius
ORG-6045	TAX-2	ORG-6045	Bacillus brevis
TAX-269801	TAX-2	TAX-269801	Bacillus cereus
ORG-6074	TAX-2	ORG-6074	Bacillus cereus
TAX-226900	TAX-2	TAX-226900	Bacillus cereus
TAX-1396	TAX-2	TAX-1396	Bacillus cereus
TAX-86661	TAX-2	TAX-86661	Bacillus cereus group
TAX-260554	TAX-2	TAX-260554	Bacillus halotolerans
TAX-279010	TAX-2	TAX-279010	Bacillus licheniformis
TAX-1402	TAX-2	TAX-1402	Bacillus licheniformis
ORG-6181	TAX-2	ORG-6181	Bacillus megaterium
TAX-1471	TAX-2	TAX-1471	Bacillus methanolicus
ORG-6310	TAX-2	ORG-6310	Bacillus methylotrophicus
ORG-6308	TAX-2	ORG-6308	Bacillus methylotrophicus
ORG-6309	TAX-2	ORG-6309	Bacillus methylotrophicus
TAX-653388	TAX-2	TAX-653388	Bacillus mojavensis subgroup
TAX-1405	TAX-2	TAX-1405	Bacillus mycoides
ORG-6254	TAX-2	ORG-6254	Bacillus pumilus
TAX-1408	TAX-2	TAX-1408	Bacillus pumilus
TAX-33022	TAX-2	TAX-33022	Bacillus racemilacticus
TAX-1479	TAX-2	TAX-1479	Bacillus smithii
TAX-118641	TAX-2	TAX-118641	Bacillus sp. 240B1
TAX-215722	TAX-2	TAX-215722	Bacillus sp. 8
TAX-69000	TAX-2	TAX-69000	Bacillus sp. B-0618
TAX-84635	TAX-2	TAX-84635	Bacillus sp. GL1
TAX-1622086	TAX-2	TAX-1622086	Bacillus sp. HYS-1
TAX-1578962	TAX-2	TAX-1578962	Bacillus sp. K91
TAX-1501233	TAX-2	TAX-1501233	Bacillus sp. MD1
ORG-5872	TAX-2	ORG-5872	Bacillus sp. No. 230
TAX-98228	TAX-2	TAX-98228	Bacillus sp. OxB-1
TAX-161537	TAX-2	TAX-161537	Bacillus sp. PL-12
TAX-1420	TAX-2	TAX-1420	Bacillus sp. RC607
TAX-161544	TAX-2	TAX-161544	Bacillus sp. SG-1
TAX-96471	TAX-2	TAX-96471	Bacillus sp. YM55-1
TAX-96241	TAX-2	TAX-96241	Bacillus spizizenii
ORG-6138	TAX-2	ORG-6138	Bacillus stearothermophilus
TAX-655816	TAX-2	TAX-655816	Bacillus subtilis
