Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-394	TAX-2	TAX-394	Sinorhizobium fredii
TAX-380	TAX-2	TAX-380	Sinorhizobium fredii
TAX-663276	TAX-2	TAX-663276	Sinorhizobium fredii group
ORG-6069	TAX-2	ORG-6069	Sinorhizobium meliloti
TAX-1286640	TAX-2	TAX-1286640	Sinorhizobium meliloti
TAX-266834	TAX-2	TAX-266834	Sinorhizobium meliloti
TAX-382	TAX-2	TAX-382	Sinorhizobium meliloti
ORG-6005	TAX-2	ORG-6005	Sinorhizobium meliloti Rm2011
TAX-430451	TAX-2	TAX-430451	Sinorhizobium sp. M14
TAX-227292	TAX-2	TAX-227292	Sinorhizobium/Ensifer group
TAX-84108	TAX-2	TAX-84108	Slackia
TAX-572010	TAX-2	TAX-572010	Slackia isoflavoniconvertens
TAX-647703	TAX-2	TAX-647703	Slackia sp. NATTS
TAX-2910984	TAX-2	TAX-2910984	Solidesulfovibrio
TAX-878	TAX-2	TAX-878	Solidesulfovibrio fructosivorans
TAX-80812	TAX-2	TAX-80812	Sorangiineae
TAX-39643	TAX-2	TAX-39643	Sorangium
TAX-1254432	TAX-2	TAX-1254432	Sorangium cellulosum
TAX-448385	TAX-2	TAX-448385	Sorangium cellulosum
TAX-56	TAX-2	TAX-56	Sorangium cellulosum
TAX-2056	TAX-2	TAX-2056	Sphaerobacter
TAX-85002	TAX-2	TAX-85002	Sphaerobacteraceae
TAX-85001	TAX-2	TAX-85001	Sphaerobacterales
TAX-85000	TAX-2	TAX-85000	Sphaerobacteridae
TAX-255728	TAX-2	TAX-255728	Sphaerobacterineae
TAX-84566	TAX-2	TAX-84566	Sphingobacteriaceae
TAX-200666	TAX-2	TAX-200666	Sphingobacteriales
TAX-117747	TAX-2	TAX-117747	Sphingobacteriia
TAX-28453	TAX-2	TAX-28453	Sphingobacterium
TAX-1010	TAX-2	TAX-1010	Sphingobacterium mizutaii
TAX-165695	TAX-2	TAX-165695	Sphingobium
TAX-46429	TAX-2	TAX-46429	Sphingobium chlorophenolicum
TAX-336203	TAX-2	TAX-336203	Sphingobium fuliginis
TAX-76947	TAX-2	TAX-76947	Sphingobium herbicidovorans
TAX-332055	TAX-2	TAX-332055	Sphingobium indicum
TAX-1301087	TAX-2	TAX-1301087	Sphingobium japonicum
ORG-57100	TAX-2	ORG-57100	Sphingobium sp. CFD-1
TAX-627192	TAX-2	TAX-627192	Sphingobium sp. SYK-6
TAX-262099	TAX-2	TAX-262099	Sphingobium sp. UG30
TAX-484429	TAX-2	TAX-484429	Sphingobium sp. YBL2
TAX-41297	TAX-2	TAX-41297	Sphingomonadaceae
TAX-204457	TAX-2	TAX-204457	Sphingomonadales
TAX-13687	TAX-2	TAX-13687	Sphingomonas
TAX-1123267	TAX-2	TAX-1123267	Sphingomonas astaxanthinifaciens
TAX-407019	TAX-2	TAX-407019	Sphingomonas astaxanthinifaciens
TAX-179878	TAX-2	TAX-179878	Sphingomonas elodea
ORG-6245	TAX-2	ORG-6245	Sphingomonas herbicidovorans MH
TAX-1355329	TAX-2	TAX-1355329	Sphingomonas lacus
TAX-13689	TAX-2	TAX-13689	Sphingomonas paucimobilis
TAX-90322	TAX-2	TAX-90322	Sphingomonas sp. A1
TAX-76582	TAX-2	TAX-76582	Sphingomonas sp. CB3
TAX-2004404	TAX-2	TAX-2004404	Sphingomonas sp. CDS-1
TAX-345346	TAX-2	TAX-345346	Sphingomonas sp. PH-07
TAX-227154	TAX-2	TAX-227154	Sphingomonas sp. SB5
TAX-314266	TAX-2	TAX-314266	Sphingomonas sp. SKA58
TAX-908609	TAX-2	TAX-908609	Sphingomonas sp. SS3
TAX-502559	TAX-2	TAX-502559	Sphingomonas sp. SYK6
TAX-411925	TAX-2	TAX-411925	Sphingomonas sp. XLDN2-5
TAX-165697	TAX-2	TAX-165697	Sphingopyxis
TAX-33050	TAX-2	TAX-33050	Sphingopyxis macrogoltabida
TAX-292913	TAX-2	TAX-292913	Sphingopyxis sp. 113P3
TAX-335405	TAX-2	TAX-335405	Sphingosinicella
TAX-364098	TAX-2	TAX-364098	Sphingosinicella xenopeptidilytica
TAX-2820280	TAX-2	TAX-2820280	Sphingosinicellaceae
TAX-146	TAX-2	TAX-146	Spirochaeta
TAX-137	TAX-2	TAX-137	Spirochaetaceae
TAX-136	TAX-2	TAX-136	Spirochaetales
TAX-203691	TAX-2	TAX-203691	Spirochaetes <Spirochaetes>
TAX-2202144	TAX-2	TAX-2202144	Spirochaetes bacterium
TAX-203692	TAX-2	TAX-203692	Spirochaetia
TAX-2132	TAX-2	TAX-2132	Spiroplasma
TAX-2133	TAX-2	TAX-2133	Spiroplasma citri
TAX-838561	TAX-2	TAX-838561	Spiroplasma mirum
TAX-2144	TAX-2	TAX-2144	Spiroplasma mirum
ORG-6329	TAX-2	ORG-6329	Spiroplasma mirum ATCC 29335
TAX-2131	TAX-2	TAX-2131	Spiroplasmataceae
TAX-2896860	TAX-2	TAX-2896860	Spirosomaceae
TAX-1154	TAX-2	TAX-1154	Spirulina <cyanobacteria>
TAX-1890448	TAX-2	TAX-1890448	Spirulinaceae
TAX-1890443	TAX-2	TAX-1890443	Spirulinales
TAX-186821	TAX-2	TAX-186821	Sporolactobacillaceae
TAX-2077	TAX-2	TAX-2077	Sporolactobacillus
TAX-2078	TAX-2	TAX-2078	Sporolactobacillus inulinus
TAX-2375	TAX-2	TAX-2375	Sporomusa
TAX-112901	TAX-2	TAX-112901	Sporomusa malonica
TAX-2378	TAX-2	TAX-2378	Sporomusa ovata
TAX-55504	TAX-2	TAX-55504	Sporomusa silvacetica
TAX-2377	TAX-2	TAX-2377	Sporomusa termitida
TAX-1843490	TAX-2	TAX-1843490	Sporomusaceae
TAX-1569	TAX-2	TAX-1569	Sporosarcina
TAX-1459	TAX-2	TAX-1459	Sporosarcina globispora
TAX-1474	TAX-2	TAX-1474	Sporosarcina pasteurii
TAX-1571	TAX-2	TAX-1571	Sporosarcina ureae
TAX-114277	TAX-2	TAX-114277	spotted fever group
TAX-90964	TAX-2	TAX-90964	Staphylococcaceae
TAX-1279	TAX-2	TAX-1279	Staphylococcus
ORG-6358	TAX-2	ORG-6358	Staphylococcus auereus
TAX-93062	TAX-2	TAX-93062	Staphylococcus aureus
TAX-158879	TAX-2	TAX-158879	Staphylococcus aureus
ORG-6189	TAX-2	ORG-6189	Staphylococcus aureus
TAX-93061	TAX-2	TAX-93061	Staphylococcus aureus
ORG-6213	TAX-2	ORG-6213	Staphylococcus aureus
TAX-1280	TAX-2	TAX-1280	Staphylococcus aureus
ORG-6007	TAX-2	ORG-6007	Staphylococcus auricularis
TAX-29379	TAX-2	TAX-29379	Staphylococcus auricularis
TAX-29388	TAX-2	TAX-29388	Staphylococcus capitis
TAX-29382	TAX-2	TAX-29382	Staphylococcus cohnii
TAX-1282	TAX-2	TAX-1282	Staphylococcus epidermidis
TAX-1283	TAX-2	TAX-1283	Staphylococcus haemolyticus
TAX-1290	TAX-2	TAX-1290	Staphylococcus hominis
TAX-1284	TAX-2	TAX-1284	Staphylococcus hyicus
TAX-2815305	TAX-2	TAX-2815305	Staphylococcus intermedius group
TAX-283734	TAX-2	TAX-283734	Staphylococcus pseudintermedius
TAX-29385	TAX-2	TAX-29385	Staphylococcus saprophyticus
TAX-1286	TAX-2	TAX-1286	Staphylococcus simulans
TAX-1292	TAX-2	TAX-1292	Staphylococcus warneri
ORG-6324	TAX-2	ORG-6324	Staphylococcus xylosus
ORG-6325	TAX-2	ORG-6325	Staphylococcus xylosus
TAX-1288	TAX-2	TAX-1288	Staphylococcus xylosus
TAX-2821832	TAX-2	TAX-2821832	Stappiaceae
TAX-152053	TAX-2	TAX-152053	Starkeya
TAX-639283	TAX-2	TAX-639283	Starkeya novella
TAX-921	TAX-2	TAX-921	Starkeya novella
TAX-40323	TAX-2	TAX-40323	Stenotrophomonas
TAX-86188	TAX-2	TAX-86188	Stenotrophomonas geniculata
TAX-391008	TAX-2	TAX-391008	Stenotrophomonas maltophilia
TAX-40324	TAX-2	TAX-40324	Stenotrophomonas maltophilia
TAX-995085	TAX-2	TAX-995085	Stenotrophomonas maltophilia group
TAX-1324005	TAX-2	TAX-1324005	Stenotrophomonas sp. G1
TAX-469322	TAX-2	TAX-469322	Steroidobacter
TAX-465721	TAX-2	TAX-465721	Steroidobacter denitrificans
TAX-2689614	TAX-2	TAX-2689614	Steroidobacteraceae
TAX-2008793	TAX-2	TAX-2008793	Sterolibacteriaceae
TAX-157591	TAX-2	TAX-157591	Sterolibacterium
TAX-157592	TAX-2	TAX-157592	Sterolibacterium denitrificans
TAX-40	TAX-2	TAX-40	Stigmatella
TAX-378806	TAX-2	TAX-378806	Stigmatella aurantiaca
TAX-675526	TAX-2	TAX-675526	Stigmatella aurantiaca
TAX-41	TAX-2	TAX-41	Stigmatella aurantiaca
TAX-228398	TAX-2	TAX-228398	Streptacidiphilus
TAX-66896	TAX-2	TAX-66896	Streptacidiphilus griseoplanus
TAX-2016	TAX-2	TAX-2016	Streptoalloteichus
TAX-1933	TAX-2	TAX-1933	Streptoalloteichus tenebrarius
TAX-1300	TAX-2	TAX-1300	Streptococcaceae
TAX-1301	TAX-2	TAX-1301	Streptococcus
TAX-211110	TAX-2	TAX-211110	Streptococcus agalactiae
TAX-1311	TAX-2	TAX-1311	Streptococcus agalactiae
TAX-216495	TAX-2	TAX-216495	Streptococcus agalactiae serogroup III
ORG-5985	TAX-2	ORG-5985	Streptococcus allantoicus
TAX-1328	TAX-2	TAX-1328	Streptococcus anginosus
TAX-671232	TAX-2	TAX-671232	Streptococcus anginosus group
TAX-76860	TAX-2	TAX-76860	Streptococcus constellatus
TAX-1335	TAX-2	TAX-1335	Streptococcus equinus
TAX-315405	TAX-2	TAX-315405	Streptococcus gallolyticus
TAX-1302	TAX-2	TAX-1302	Streptococcus gordonii
TAX-1338	TAX-2	TAX-1338	Streptococcus intermedius
TAX-28037	TAX-2	TAX-28037	Streptococcus mitis
TAX-1309	TAX-2	TAX-1309	Streptococcus mutans
TAX-1303	TAX-2	TAX-1303	Streptococcus oralis
TAX-197614	TAX-2	TAX-197614	Streptococcus pasteurianus
TAX-216600	TAX-2	TAX-216600	Streptococcus pneumoniae
TAX-171101	TAX-2	TAX-171101	Streptococcus pneumoniae
TAX-1313	TAX-2	TAX-1313	Streptococcus pneumoniae
TAX-1314	TAX-2	TAX-1314	Streptococcus pyogenes
TAX-1341	TAX-2	TAX-1341	Streptococcus ratti
TAX-1304	TAX-2	TAX-1304	Streptococcus salivarius
TAX-1305	TAX-2	TAX-1305	Streptococcus sanguinis
TAX-1307	TAX-2	TAX-1307	Streptococcus suis
TAX-1308	TAX-2	TAX-1308	Streptococcus thermophilus
TAX-1349	TAX-2	TAX-1349	Streptococcus uberis
TAX-1883	TAX-2	TAX-1883	Streptomyces
TAX-285532	TAX-2	TAX-285532	Streptomyces achromogenes
TAX-67255	TAX-2	TAX-67255	Streptomyces achromogenes
TAX-1885	TAX-2	TAX-1885	Streptomyces actuosus
ORG-6265	TAX-2	ORG-6265	Streptomyces aizunenesis
TAX-255848	TAX-2	TAX-255848	Streptomyces aizunensis
TAX-1886	TAX-2	TAX-1886	Streptomyces albidoflavus
TAX-1477431	TAX-2	TAX-1477431	Streptomyces albidoflavus group
TAX-132473	TAX-2	TAX-132473	Streptomyces alboniger
TAX-1482558	TAX-2	TAX-1482558	Streptomyces albovinaceus subgroup
TAX-68570	TAX-2	TAX-68570	Streptomyces albulus
TAX-1888	TAX-2	TAX-1888	Streptomyces albus
TAX-1889	TAX-2	TAX-1889	Streptomyces ambofaciens
TAX-278992	TAX-2	TAX-278992	Streptomyces ambofaciens
TAX-2867121	TAX-2	TAX-2867121	Streptomyces anthocyanicus group
TAX-1890	TAX-2	TAX-1890	Streptomyces antibioticus
TAX-1892	TAX-2	TAX-1892	Streptomyces anulatus
TAX-1482561	TAX-2	TAX-1482561	Streptomyces anulatus subgroup
TAX-29301	TAX-2	TAX-29301	Streptomyces arenae
TAX-41951	TAX-2	TAX-41951	Streptomyces argillaceus
TAX-1295550	TAX-2	TAX-1295550	Streptomyces arginensis
TAX-66869	TAX-2	TAX-66869	Streptomyces atroolivaceus
TAX-1482564	TAX-2	TAX-1482564	Streptomyces atroolivaceus subgroup
TAX-2838335	TAX-2	TAX-2838335	Streptomyces aurantiacus group
TAX-227882	TAX-2	TAX-227882	Streptomyces avermitilis
TAX-33903	TAX-2	TAX-33903	Streptomyces avermitilis
TAX-146537	TAX-2	TAX-146537	Streptomyces azureus
TAX-1896	TAX-2	TAX-1896	Streptomyces bikiniensis
TAX-68180	TAX-2	TAX-68180	Streptomyces blastmyceticus
TAX-1898	TAX-2	TAX-1898	Streptomyces cacaoi
TAX-53502	TAX-2	TAX-53502	Streptomyces caespitosus
TAX-67282	TAX-2	TAX-67282	Streptomyces calvus
TAX-29303	TAX-2	TAX-29303	Streptomyces cattleya
TAX-1079985	TAX-2	TAX-1079985	Streptomyces chartreusis
TAX-1969	TAX-2	TAX-1969	Streptomyces chartreusis
TAX-68185	TAX-2	TAX-68185	Streptomyces chrestomyceticus
TAX-319633	TAX-2	TAX-319633	Streptomyces cinnabarigriseus
TAX-67287	TAX-2	TAX-67287	Streptomyces cinnabarinus
TAX-1481185	TAX-2	TAX-1481185	Streptomyces cinnamoneus group
TAX-1901	TAX-2	TAX-1901	Streptomyces clavuligerus
TAX-100226	TAX-2	TAX-100226	Streptomyces coelicolor
TAX-1902	TAX-2	TAX-1902	Streptomyces coelicolor
TAX-116188	TAX-2	TAX-116188	Streptomyces coeruleorubidus
TAX-42684	TAX-2	TAX-42684	Streptomyces collinus
TAX-1653203	TAX-2	TAX-1653203	Streptomyces conglobatus
TAX-66881	TAX-2	TAX-66881	Streptomyces cremeus
TAX-348043	TAX-2	TAX-348043	Streptomyces davaonensis
TAX-42236	TAX-2	TAX-42236	Streptomyces diastatochromogenes
TAX-67293	TAX-2	TAX-67293	Streptomyces echinatus
TAX-1905	TAX-2	TAX-1905	Streptomyces exfoliatus
TAX-53447	TAX-2	TAX-53447	Streptomyces felleus
TAX-68197	TAX-2	TAX-68197	Streptomyces fimbriatus
TAX-67297	TAX-2	TAX-67297	Streptomyces flaveolus
TAX-68199	TAX-2	TAX-68199	Streptomyces flavochromogenes
TAX-1906	TAX-2	TAX-1906	Streptomyces fradiae
TAX-67301	TAX-2	TAX-67301	Streptomyces fragilis
TAX-67302	TAX-2	TAX-67302	Streptomyces fumanus
TAX-33898	TAX-2	TAX-33898	Streptomyces galbus
TAX-33899	TAX-2	TAX-33899	Streptomyces galilaeus
TAX-66892	TAX-2	TAX-66892	Streptomyces gardneri
TAX-235466	TAX-2	TAX-235466	Streptomyces garyphalus
TAX-1907	TAX-2	TAX-1907	Streptomyces glaucescens
TAX-1908	TAX-2	TAX-1908	Streptomyces globisporus
TAX-68214	TAX-2	TAX-68214	Streptomyces griseochromogenes
TAX-35619	TAX-2	TAX-35619	Streptomyces griseoflavus
TAX-467200	TAX-2	TAX-467200	Streptomyces griseoflavus
TAX-146922	TAX-2	TAX-146922	Streptomyces griseofuscus
TAX-1910	TAX-2	TAX-1910	Streptomyces griseosporeus
TAX-284636	TAX-2	TAX-284636	Streptomyces griseovariabilis
TAX-284637	TAX-2	TAX-284637	Streptomyces griseovariabilis
TAX-68215	TAX-2	TAX-68215	Streptomyces griseoverticillatus
TAX-455632	TAX-2	TAX-455632	Streptomyces griseus
TAX-67263	TAX-2	TAX-67263	Streptomyces griseus
TAX-1911	TAX-2	TAX-1911	Streptomyces griseus
TAX-629295	TAX-2	TAX-629295	Streptomyces griseus group
TAX-1482596	TAX-2	TAX-1482596	Streptomyces griseus subgroup
TAX-998084	TAX-2	TAX-998084	Streptomyces himastatinicus
TAX-457427	TAX-2	TAX-457427	Streptomyces himastatinicus
TAX-1133850	TAX-2	TAX-1133850	Streptomyces hygroscopicus
TAX-311982	TAX-2	TAX-311982	Streptomyces hygroscopicus
ORG-6106	TAX-2	ORG-6106	Streptomyces hygroscopicus
TAX-68042	TAX-2	TAX-68042	Streptomyces hygroscopicus
TAX-132248	TAX-2	TAX-132248	Streptomyces hygroscopicus
TAX-264445	TAX-2	TAX-264445	Streptomyces hygroscopicus
ORG-6031	TAX-2	ORG-6031	Streptomyces hygroscopicus
TAX-1912	TAX-2	TAX-1912	Streptomyces hygroscopicus
ORG-57102	TAX-2	ORG-57102	Streptomyces jamaicensis
TAX-1967	TAX-2	TAX-1967	Streptomyces kanamyceticus
ORG-6218	TAX-2	ORG-6218	Streptomyces lasaliensis
TAX-324833	TAX-2	TAX-324833	Streptomyces lasalocidi
TAX-39478	TAX-2	TAX-39478	Streptomyces laurentii
TAX-1522108	TAX-2	TAX-1522108	Streptomyces lavendulae
TAX-58340	TAX-2	TAX-58340	Streptomyces lavendulae
TAX-1914	TAX-2	TAX-1914	Streptomyces lavendulae
TAX-1437453	TAX-2	TAX-1437453	Streptomyces leeuwenhoekii
TAX-1915	TAX-2	TAX-1915	Streptomyces lincolnensis
TAX-1916	TAX-2	TAX-1916	Streptomyces lividans
TAX-457428	TAX-2	TAX-457428	Streptomyces lividans
TAX-1200984	TAX-2	TAX-1200984	Streptomyces lividans
TAX-282216	TAX-2	TAX-282216	Streptomyces lividus
TAX-28044	TAX-2	TAX-28044	Streptomyces longisporoflavus
TAX-67320	TAX-2	TAX-67320	Streptomyces luridus
TAX-173858	TAX-2	TAX-173858	Streptomyces luteireticuli
TAX-173856	TAX-2	TAX-173856	Streptomyces luteosporeus
TAX-47763	TAX-2	TAX-47763	Streptomyces lydicus
TAX-1079983	TAX-2	TAX-1079983	Streptomyces lysosuperificus
TAX-115828	TAX-2	TAX-115828	Streptomyces maritimus
TAX-68237	TAX-2	TAX-68237	Streptomyces mediolani
TAX-67327	TAX-2	TAX-67327	Streptomyces melanosporofaciens
TAX-35621	TAX-2	TAX-35621	Streptomyces mobaraensis
TAX-1970	TAX-2	TAX-1970	Streptomyces morookaense
TAX-1949	TAX-2	TAX-1949	Streptomyces mycarofaciens
TAX-68241	TAX-2	TAX-68241	Streptomyces naraensis
TAX-67333	TAX-2	TAX-67333	Streptomyces narbonensis
TAX-222892	TAX-2	TAX-222892	Streptomyces nodosus
TAX-40318	TAX-2	TAX-40318	Streptomyces nodosus
TAX-38314	TAX-2	TAX-38314	Streptomyces nogalater
TAX-1971	TAX-2	TAX-1971	Streptomyces noursei
TAX-316284	TAX-2	TAX-316284	Streptomyces noursei
TAX-53450	TAX-2	TAX-53450	Streptomyces odorifer
TAX-47716	TAX-2	TAX-47716	Streptomyces olivaceus
TAX-68246	TAX-2	TAX-68246	Streptomyces olivoreticuli
TAX-67338	TAX-2	TAX-67338	Streptomyces olivoviridis
TAX-67339	TAX-2	TAX-67339	Streptomyces orinoci
TAX-33901	TAX-2	TAX-33901	Streptomyces ornatus
TAX-146923	TAX-2	TAX-146923	Streptomyces parvulus
TAX-1950	TAX-2	TAX-1950	Streptomyces peucetius
TAX-316280	TAX-2	TAX-316280	Streptomyces peucetius
TAX-55158	TAX-2	TAX-55158	Streptomyces peucetius
TAX-1923	TAX-2	TAX-1923	Streptomyces phaeochromogenes
TAX-2838332	TAX-2	TAX-2838332	Streptomyces phaeochromogenes group
TAX-28893	TAX-2	TAX-28893	Streptomyces pilosus
ORG-6278	TAX-2	ORG-6278	Streptomyces pimprina
TAX-58346	TAX-2	TAX-58346	Streptomyces platensis
TAX-38300	TAX-2	TAX-38300	Streptomyces pristinaespiralis
TAX-1924	TAX-2	TAX-1924	Streptomyces purpurascens
TAX-691266	TAX-2	TAX-691266	Streptomyces ravidus
TAX-223296	TAX-2	TAX-223296	Streptomyces refuineus
TAX-80859	TAX-2	TAX-80859	Streptomyces ribosidificus
TAX-504097	TAX-2	TAX-504097	Streptomyces rimofaciens
TAX-132474	TAX-2	TAX-132474	Streptomyces rimosus
TAX-1927	TAX-2	TAX-1927	Streptomyces rimosus
TAX-1265868	TAX-2	TAX-1265868	Streptomyces rimosus
TAX-68264	TAX-2	TAX-68264	Streptomyces rishiriensis
TAX-1928	TAX-2	TAX-1928	Streptomyces rochei
TAX-2867164	TAX-2	TAX-2867164	Streptomyces rochei group
TAX-285450	TAX-2	TAX-285450	Streptomyces roseochromogenus
TAX-149682	TAX-2	TAX-149682	Streptomyces roseochromogenus
TAX-285471	TAX-2	TAX-285471	Streptomyces roseogriseus
TAX-359131	TAX-2	TAX-359131	Streptomyces rubellomurinus
ORG-6359	TAX-2	ORG-6359	Streptomyces rubescens
TAX-285531	TAX-2	TAX-285531	Streptomyces rubradiris
TAX-295838	TAX-2	TAX-295838	Streptomyces rugosporus
TAX-285525	TAX-2	TAX-285525	Streptomyces sahachiroi
TAX-193460	TAX-2	TAX-193460	Streptomyces sanglieri
TAX-1930	TAX-2	TAX-1930	Streptomyces scabiei
TAX-680198	TAX-2	TAX-680198	Streptomyces scabiei
TAX-78355	TAX-2	TAX-78355	Streptomyces somaliensis
TAX-529089	TAX-2	TAX-529089	Streptomyces sp. 307-9
TAX-1143308	TAX-2	TAX-1143308	Streptomyces sp. AC7
TAX-488618	TAX-2	TAX-488618	Streptomyces sp. C-5
TAX-45212	TAX-2	TAX-45212	Streptomyces sp. C5
TAX-1703943	TAX-2	TAX-1703943	Streptomyces sp. CB01883
TAX-2020327	TAX-2	TAX-2020327	Streptomyces sp. CB02120-2
TAX-93372	TAX-2	TAX-93372	Streptomyces sp. CL190
TAX-876169	TAX-2	TAX-876169	Streptomyces sp. CS
TAX-375060	TAX-2	TAX-375060	Streptomyces sp. FLA
TAX-206662	TAX-2	TAX-206662	Streptomyces sp. FR-008
TAX-74574	TAX-2	TAX-74574	Streptomyces sp. FRI-5
TAX-1231257	TAX-2	TAX-1231257	Streptomyces sp. GF3587
TAX-2099583	TAX-2	TAX-2099583	Streptomyces sp. ICC1
TAX-2099584	TAX-2	TAX-2099584	Streptomyces sp. ICC4
TAX-268810	TAX-2	TAX-268810	Streptomyces sp. IKD472/FERM P-14339
TAX-1577588	TAX-2	TAX-1577588	Streptomyces sp. JHA19
TAX-1238679	TAX-2	TAX-1238679	Streptomyces sp. K01-0509
TAX-256642	TAX-2	TAX-256642	Streptomyces sp. K30
TAX-201500	TAX-2	TAX-201500	Streptomyces sp. KCTC 0041BP
TAX-941587	TAX-2	TAX-941587	Streptomyces sp. KCTC 11604BP
TAX-285219	TAX-2	TAX-285219	Streptomyces sp. KO-3988
ORG-6171	TAX-2	ORG-6171	Streptomyces sp. LL-B7
TAX-82632	TAX-2	TAX-82632	Streptomyces sp. MA6548
ORG-6038	TAX-2	ORG-6038	Streptomyces sp. MA6858
TAX-1806334	TAX-2	TAX-1806334	Streptomyces sp. MM23
TAX-1298930	TAX-2	TAX-1298930	Streptomyces sp. NRRL 2288
TAX-1519493	TAX-2	TAX-1519493	Streptomyces sp. NRRL B-3648
TAX-932694	TAX-2	TAX-932694	Streptomyces sp. OH-4156
TAX-1009461	TAX-2	TAX-1009461	Streptomyces sp. RJA2928
TAX-861065	TAX-2	TAX-861065	Streptomyces sp. S4(2010)
TAX-74576	TAX-2	TAX-74576	Streptomyces sp. SA-COO
TAX-1213862	TAX-2	TAX-1213862	Streptomyces sp. SANK 60404
TAX-689687	TAX-2	TAX-689687	Streptomyces sp. SANK 60405
TAX-861528	TAX-2	TAX-861528	Streptomyces sp. SCSIO 1666
TAX-497689	TAX-2	TAX-497689	Streptomyces sp. SNA15896
ORG-6246	TAX-2	ORG-6246	Streptomyces sp. strain V-1
TAX-171258	TAX-2	TAX-171258	Streptomyces sp. TP-A0274
TAX-428401	TAX-2	TAX-428401	Streptomyces sp. UC 11065
TAX-235278	TAX-2	TAX-235278	Streptomyces sp. WA46
TAX-1501383	TAX-2	TAX-1501383	Streptomyces sp. WAC4747
TAX-1245512	TAX-2	TAX-1245512	Streptomyces sp. XZQH13
TAX-68270	TAX-2	TAX-68270	Streptomyces spectabilis
TAX-66376	TAX-2	TAX-66376	Streptomyces spiralis
TAX-330919	TAX-2	TAX-330919	Streptomyces tacrolimicus
TAX-80858	TAX-2	TAX-80858	Streptomyces thermotolerans
TAX-66431	TAX-2	TAX-66431	Streptomyces thioluteus
ORG-6282	TAX-2	ORG-6282	Streptomyces tirandis
TAX-67369	TAX-2	TAX-67369	Streptomyces toxytricini
TAX-55952	TAX-2	TAX-55952	Streptomyces toyocaensis
TAX-45399	TAX-2	TAX-45399	Streptomyces triostinicus
TAX-1114943	TAX-2	TAX-1114943	Streptomyces tsukubensis
TAX-83656	TAX-2	TAX-83656	Streptomyces tsukubensis
TAX-285482	TAX-2	TAX-285482	Streptomyces tsusimaensis
TAX-67370	TAX-2	TAX-67370	Streptomyces umbrinus
TAX-953739	TAX-2	TAX-953739	Streptomyces venezuelae
TAX-54571	TAX-2	TAX-54571	Streptomyces venezuelae
TAX-29309	TAX-2	TAX-29309	Streptomyces verticillus
TAX-67377	TAX-2	TAX-67377	Streptomyces violaceochromogenes
TAX-1935	TAX-2	TAX-1935	Streptomyces violaceoruber
TAX-68280	TAX-2	TAX-68280	Streptomyces violaceusniger
TAX-2839105	TAX-2	TAX-2839105	Streptomyces violaceusniger group
ORG-6326	TAX-2	ORG-6326	Streptomyces virginiae
ORG-6327	TAX-2	ORG-6327	Streptomyces virginiae
TAX-1961	TAX-2	TAX-1961	Streptomyces virginiae
TAX-48665	TAX-2	TAX-48665	Streptomyces viridifaciens
TAX-591159	TAX-2	TAX-591159	Streptomyces viridochromogenes
TAX-1938	TAX-2	TAX-1938	Streptomyces viridochromogenes
TAX-76728	TAX-2	TAX-76728	Streptomyces vitaminophilus
TAX-43759	TAX-2	TAX-43759	Streptomyces wedmorensis
TAX-68286	TAX-2	TAX-68286	Streptomyces zaomyceticus
TAX-2062	TAX-2	TAX-2062	Streptomycetaceae
TAX-85011	TAX-2	TAX-85011	Streptomycetales
TAX-2004	TAX-2	TAX-2004	Streptosporangiaceae
TAX-85012	TAX-2	TAX-85012	Streptosporangiales
TAX-2000	TAX-2	TAX-2000	Streptosporangium
TAX-457432	TAX-2	TAX-457432	Streptosporangium sibiricum
TAX-60136	TAX-2	TAX-60136	Sulfitobacter
TAX-60137	TAX-2	TAX-60137	Sulfitobacter pontiacus
TAX-52598	TAX-2	TAX-52598	Sulfitobacter sp. EE-36
TAX-314267	TAX-2	TAX-314267	Sulfitobacter sp. NAS-14.1
TAX-28033	TAX-2	TAX-28033	Sulfobacillus
TAX-28034	TAX-2	TAX-28034	Sulfobacillus thermosulfidooxidans
TAX-32036	TAX-2	TAX-32036	sulfur-oxidizing symbionts
TAX-935200	TAX-2	TAX-935200	Sulfuricella
TAX-649841	TAX-2	TAX-649841	Sulfuricella denitrificans
TAX-2772226	TAX-2	TAX-2772226	Sulfuricellaceae
TAX-1778653	TAX-2	TAX-1778653	Sulfuriferula
TAX-171865	TAX-2	TAX-171865	Sulfuriferula plumbiphila
TAX-202746	TAX-2	TAX-202746	Sulfurimonas
TAX-39766	TAX-2	TAX-39766	Sulfurimonas denitrificans
TAX-2932623	TAX-2	TAX-2932623	Sulfurospirillaceae
TAX-57665	TAX-2	TAX-57665	Sulfurospirillum
TAX-57666	TAX-2	TAX-57666	Sulfurospirillum arcachonense
TAX-56698	TAX-2	TAX-56698	Sulfurospirillum arsenophilum
TAX-44674	TAX-2	TAX-44674	Sulfurospirillum barnesii
TAX-65553	TAX-2	TAX-65553	Sulfurospirillum deleyianum
TAX-66821	TAX-2	TAX-66821	Sulfurospirillum multivorans
TAX-543349	TAX-2	TAX-543349	Symbiobacteriaceae
TAX-2733	TAX-2	TAX-2733	Symbiobacterium
TAX-2734	TAX-2	TAX-2734	Symbiobacterium thermophilum
