Pathways	Super-Pathways
ETOH-ACETYLCOA-ANA-PWY	
PWY66-21	
PWY66-161	
PWY66-162	
PWY0-1477	
PWY-7776	
ETHYL-PWY	
PWY-6853	
PWY-6854	
PWY-7126	
PWY-7124	
PWY-5708	PWY-6176
PWY-7895	
PWY-481	
PWY0-1280	GLYCOL-GLYOXDEG-PWY
PWY-5741	
PWY-6271	
PWY-5859	
PWY-6498	
PWY-7157	
PWY-8175	
PWY4FS-13	
PWY-8112	
PWY-5198	
PWY-5199	
PWY-5196	
PWY-5725	
PWY-6577	
PWY-2501	
FAO-PWY	
PWY-5136	PWY-561
PWY-5137	
PWY-5138	
PWY-6837	
PWY66-391	
PWY-7288	
PWY66-429	
PWY-6799	
PWY-5966-1	PWY-6113
PWY-4381	FASYN-INITIAL-PWY // PWY-5156 // PWY-6285
FASYN-ELONG-PWY	PWY0-881
PWY-7094	
PWY-6692	
PWY-8001	
PWY-7710	
PWY-6437	
PWY-6445	
PWY-6449	
PWY-7571	
PWY-7577	
PWY-5168	
PWY-6343	
PWY-7913	
RIBOSYN2-PWY	
PWY-6167	
PWY-6168	
PWY66-366	
PWY-8063	
PWY-7513	
PWY1F-FLAVSYN	
PWY-6787	
PWY-7897	
PWY-7168	
PWY-7171	
PWY-7172	
PWY-3101	PWY-6266
PWY-7947	
FLUORENE-DEG-9-ONE-PWY	
PWY-1381	
PWY-6644	
PWY-6646	
PWY-2161	
PWY-2201	
PWY-3841	
1CMET2-PWY	
PWY-1622	
PWY-1861	
P185-PWY	
RUMP-PWY	
PWY-1801	PWY-1882
PWY1G-170	PWY-7616
FORMASS-PWY	PWY-1882
PWY-7908	
PWY-1723	PWY-1882
PWY-7909	
PWY-1722	
PWY-1881	PWY-1882
PWY0-1356	
PWY0-1585	
PWY0-1355	
PWY-2321	PWY-2229
PWY-2904	PWY-5717
PWY-5757	
PWY-7419	
PWY-2181	
PWY-822	
PWY-862	
PWY66-423	
PWY0-1314	
PWY0-521	
PWY1QP9-2	
PWY-7059	
PWY-7542	
PWY-7526	PWY-7537
PWY-7525	PWY-7537
PWY-7937	
PWY-5975	
PWY-7113	
PWY-6997	
PWY-7672	
PWY-7670	
PWY-7673	
PWY-6659	
GLUDEG-I-PWY	
